segmentId,time,dimensionlessDischarge,overThreshold,threshold
1,2.000000,0.000000,0,450.162586
2,2.000000,0.000000,0,51.160831
3,2.000000,0.000000,0,381.152321
4,2.000000,0.077106,0,52.225016
5,2.000000,0.129486,0,52.258619
6,2.000000,0.000039,0,56.492945
7,2.000000,0.000000,0,288.785928
8,2.000000,0.000000,0,42.607805
9,2.000000,0.016592,0,43.789737
10,2.000000,0.000000,0,154.335258
11,2.000000,0.000000,0,292.037236
12,2.000000,0.000000,0,57.031906
13,2.000000,0.075756,0,107.326159
14,2.000000,0.000000,0,178.260347
15,2.000000,0.036138,0,191.906118
16,2.000000,0.000000,0,60.697337
17,2.000000,0.000000,0,49.104228
18,2.000000,0.062959,0,108.573805
19,2.000000,0.000000,0,79.254143
20,2.000000,0.000000,0,248.648946
21,2.000000,0.000000,0,123.753423
22,2.000000,0.000000,0,53.891057
23,2.000000,0.000000,0,39.344742
24,2.000000,0.072930,0,40.813500
25,2.000000,0.000000,0,23.495425
26,2.000000,0.000000,0,47.531385
27,2.000000,0.038600,0,56.790344
28,2.000000,1.428996,0,46.396326
29,2.000000,0.000000,0,52.101336
30,2.000000,0.039602,0,77.602311
31,2.000000,0.000000,0,75.862225
32,2.000000,0.000000,0,136.050582
33,2.000000,0.000000,0,190.218019
34,2.000000,0.000000,0,78.372864
35,2.000000,0.000000,0,28.582419
36,2.000000,0.000000,0,47.343457
37,2.000000,0.000000,0,47.305638
38,2.000000,0.000000,0,31.052056
39,2.000000,0.000000,0,75.289383
40,2.000000,0.000000,0,66.439213
41,2.000000,0.015864,0,100.633601
42,2.000000,0.010699,0,118.393540
43,2.000000,0.000000,0,173.776110
44,2.000000,0.000000,0,50.892688
45,2.000000,0.000000,0,47.607844
46,2.000000,0.000000,0,38.919038
47,2.000000,0.000000,0,130.419045
48,2.000000,0.000000,0,42.044462
49,2.000000,0.000000,0,46.893745
50,2.000000,0.007229,0,66.011718
51,2.000000,0.000000,0,1181.166341
52,2.000000,0.000000,0,78.372864
53,2.000000,0.000000,0,104.293003
54,2.000000,0.000000,0,47.169590
55,2.000000,0.023372,0,57.875533
56,2.000000,0.000000,0,39.422379
57,2.000000,0.094874,0,66.041452
58,2.000000,0.024478,0,106.392786
59,2.000000,0.162243,0,126.308648
60,2.000000,0.000000,0,81.983475
61,2.000000,0.000000,0,97.968849
62,2.000000,0.000000,0,34.718733
63,2.000000,0.000000,0,64.572746
